route_id,service_id,trip_id,trip_headsign,shape_id,wheelchair_accessible
L30D1,15,40220,"Bulovka",491,1
L30D1,15,40221,"Sídliště Ďáblice",492,1
L30D1,15,40222,"Bulovka",491,1
L30D1,15,40223,"Sídliště Ďáblice",492,1
L30D1,15,40224,"Střelničná",493,1
L30D1,15,40225,"Sídliště Ďáblice",490,1
L30D1,15,40226,"Bulovka",491,1
L30D1,15,40227,"Sídliště Ďáblice",492,1
L30D1,15,40228,"Bulovka",491,1
L30D1,15,40229,"Sídliště Ďáblice",492,1
L30D1,15,40230,"Bulovka",491,1
L30D1,15,40231,"Sídliště Ďáblice",492,1
L30D1,15,40232,"Bulovka",491,1
L30D1,15,40233,"Sídliště Ďáblice",492,1
L30D1,15,40234,"Bulovka",491,1
L30D1,15,40235,"Sídliště Ďáblice",492,1
L30D1,15,40236,"Střelničná",493,1
L30D1,15,40237,"Kobylisy",500,1
L30D1,15,40238,"Vozovna Kobylisy",495,1
L30D1,15,40239,"Střelničná",494,1
L30D1,15,40240,"Vozovna Kobylisy",495,1
L30D1,15,40241,"Sídliště Ďáblice",496,1
L30D1,15,40242,"Bulovka",491,1
L30D1,15,40243,"Sídliště Ďáblice",492,1
L30D1,15,40244,"Bulovka",491,1
L30D1,15,40245,"Sídliště Ďáblice",492,1
L30D1,15,40246,"Bulovka",491,1
L30D1,15,40247,"Sídliště Ďáblice",492,1
L30D1,15,40248,"Bulovka",491,1
L30D1,15,40249,"Sídliště Ďáblice",492,1
L30D1,15,40250,"Bulovka",491,1
L30D1,15,40251,"Sídliště Ďáblice",492,1
L30D1,15,40252,"Bulovka",491,1
L30D1,15,40253,"Sídliště Ďáblice",492,1
L30D1,15,40254,"Bulovka",491,1
L30D1,15,40255,"Sídliště Ďáblice",492,1
L30D1,15,40256,"Bulovka",491,1
L30D1,15,40257,"Sídliště Ďáblice",492,1
L30D1,15,40258,"Bulovka",491,1
L30D1,15,40259,"Sídliště Ďáblice",492,1
L30D1,15,40260,"Bulovka",491,1
L30D1,15,40261,"Sídliště Ďáblice",492,1
